tconst,ordering,title,country,isOriginal
7405344,1,Suffer food.,america,1
7405344,2,Souffrez de nourriture.,French,0
7405344,3,Suffer food.,English,0
7405344,4,Yiyeceklere acı çektirin.,Turkish,0
7601891,1,Yeah series produce.,america,1
7601891,2,그래 시리즈 생산.,Korean,0
7601891,3,Yeah系列产品。,Chinese,0
7601891,4,Yeah series produce.,English,0
7601891,5,"Ouais, des produits de série.",French,0
6177244,1,Into single.,america,1
6177244,2,INTO SINGLE.,Korean,0
6177244,3,In Single.,German,0
5599401,1,Everyone kind support.,america,1
5599401,2,모두에게 친절한 지원.,Korean,0
5599401,3,Alle unterstützen uns freundlich.,German,0
5599401,4,Tout le monde apporte son soutien.,French,0
5599401,5,Herkes desteğini esirgemez.,Turkish,0
2362890,1,Front song character.,america,1
2362890,2,Front song character.,English,0
2362890,3,프론트 송 캐릭터.,Korean,0
2362890,4,Personnage principal de la chanson.,French,0
2362890,5,正面歌曲人物。,Chinese,0
2362890,6,Front-Song-Charakter.,German,0
7365954,1,Nor offer would.,america,1
7365954,2,也不会报价。,Chinese,0
7365954,3,Nor offer would.,English,0
7365954,4,어떤 제안도 그러지 않습니다.,Korean,0
7365954,5,Teklif de işe yaramazdı.,Turkish,0
7365954,6,Ni l'offre ne le ferait.,French,0
7045109,1,Himself hope small budget.,america,1
7045109,2,他自己希望预算不多。,Chinese,0
7045109,3,Kendisi küçük bir bütçe umuyor.,Turkish,0
2573898,1,Anyone provide.,america,1
2573898,2,任何人都可以提供。,Chinese,0
2573898,3,N'importe qui fournit.,French,0
8912316,1,Trade huge.,america,1
8912316,2,엄청나게 거래하세요.,Korean,0
8912316,3,Trade huge.,English,0
8912316,4,Handeln Sie im großen Stil.,German,0
4176257,1,In beyond.,america,1
4176257,2,Ötesinde.,Turkish,0
4176257,3,In beyond.,German,0
4176257,4,Au delà.,French,0
4176257,5,在更远的地方。,Chinese,0
4176257,6,저 너머.,Korean,0
